Mode; Buttons; Other args
Swadge Bros; up,down,left,right,a,b,select; 
Swadge Land; down,right,a,b; 
Donut Jump; up,down,left,right,a; 
Pi-cross; a,b,up,down,left,right; 
Flyin Donut; up,down,left,right,a; 
Tiltrads; left,right,a,b,start; 
MFPaint; up,down,left,right,a,b,start,select,x,y; 
Dice Roller; a,left,right,up,down; 
Colorchord; left,down,up,right,select; 
Tunernome; up,down,left,right,select; 
TechnoSlideWhistle; a,b,up,down,left,right,select,1,2,3,4,5; 
Jukebox; a,b,up,down,left,right
Swadge Bros; a,b,up,down,left,right,select; 
Credits; ; 
Swadge Land; down,right,a,b; 
