-20	9	379	100	100	1	115	7	7	8	7	10	8	7	7	7	8	8	8	8	7	13	19	7	13	7	8	11	7	11	7	8	42	7	7	80	7	8	7	7	7	7	7	24	49	7	9	41	6	7	7	7	9	7	7	7	16	21	7	7	7	7	7	7	6	7	7	25	7	7	8	9	10	11	7	12	7	9	17	8	7	7	8	10	29	9	11	8	27	7	9	8	7	7	19	9	7	7	7	7	7	8	21	21	11	7	24
-15	11	583	100	100	48	-20	35	6	15	7	9	49	20	17	15	7	7	24	11	45	9	34	18	13	7	7	8	7	7	7	8	10	10	9	10	8	22	7	17	7	8	9	8	66	9	23	8	9	7	28	44	7	7	56	7	7	7	22	7	7	8	7	17	24	9	7	22	8	46	18	8	8	7	9	11	7	7	7	8	7	7	9	7	7	8	19	30	51	7	9	7	41	27	7	18	20	21	8	44	7	7	57	7	84	14	9
-10	12	736	100	100	86	-15	13	6	9	33	8	13	11	7	23	9	18	18	7	10	8	9	7	19	24	50	7	7	36	7	9	104	7	7	23	10	7	16	7	7	21	7	10	26	12	12	24	7	41	9	8	19	8	12	9	25	48	56	7	26	7	15	51	13	7	10	51	17	7	56	22	6	15	153	24	107	85	15	120	6	31	59	23	14	7	8	16	79	7	31	16	7	10	19	139	7	97	12	20	10	51	7	12	40	7	48
-5	11	702	100	100	81	-10	22	49	8	59	7	10	8	21	7	40	6	9	10	19	16	22	16	12	10	8	34	25	7	35	7	8	7	35	7	8	44	40	7	38	52	51	8	16	58	9	46	7	28	16	8	22	12	7	32	7	6	11	7	7	8	7	90	7	37	7	13	7	8	9	80	8	35	67	40	36	17	30	16	8	7	31	8	7	17	32	7	7	10	14	44	57	21	30	29	12	85	22	32	17	7	13	7	8	20	10
0	12	799	100	100	73	-5	18	7	72	11	47	7	7	9	37	51	19	25	7	7	9	13	102	32	6	8	35	7	9	19	26	27	7	7	10	21	48	8	7	33	32	14	12	40	40	7	19	58	16	60	7	38	11	21	7	7	8	8	8	7	15	115	14	42	7	25	7	22	7	40	12	10	7	7	7	76	17	7	7	7	19	34	53	74	26	46	7	123	9	36	25	34	17	30	23	52	34	44	7	7	17	61	13	13	83	9
5	13	880	100	100	80	0	8	43	6	29	9	18	23	50	18	8	30	17	24	7	29	22	15	8	58	8	13	37	8	9	34	12	7	11	9	7	43	28	7	63	7	9	7	8	44	8	7	32	18	7	31	10	100	7	29	24	7	7	14	9	74	33	11	11	26	7	34	8	29	29	8	10	6	10	7	12	8	7	56	8	7	25	9	12	29	7	11	12	9	30	7	17	8	31	20	8	20	17	16	26	10	10	64	7	61	30
10	12	844	100	100	82	5	7	7	7	17	9	9	7	9	7	15	27	14	49	41	7	7	7	7	26	44	10	12	50	12	13	22	7	7	26	11	7	8	7	7	51	7	42	7	27	7	69	7	7	7	7	7	7	7	7	7	16	6	8	44	24	34	21	19	7	17	34	7	56	7	8	20	62	15	15	28	14	98	12	9	69	85	7	88	13	10	18	7	63	75	11	73	41	7	82	10	9	77	30	42	7	60	30	7	8	7
15	11	792	100	100	89	10	7	94	7	7	13	7	7	7	59	33	7	49	7	29	7	7	7	7	52	72	8	7	7	7	29	7	8	29	51	18	7	7	10	31	18	20	8	9	7	7	15	7	7	7	7	7	7	49	7	7	9	7	7	12	36	7	13	7	7	7	8	7	7	7	12	13	10	7	49	8	14	45	7	7	7	6	35	7	12	8	21	7	24	12	52	7	7	8	9	63	9	12	30	8	22	7	91	10	7	10
20	13	959	100	100	79	15	7	7	8	7	8	7	10	7	9	8	7	7	7	10	7	7	7	7	9	7	9	33	7	24	7	7	7	9	7	7	10	9	19	7	8	8	7	7	52	7	82	17	7	23	24	7	31	7	13	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	10	7	7	6	11	19	7	11	44	14	28	7	7	7	7	7	7	7	7	6	8	7	7	38	11	7	7	6	10	7	33	77	75	7	7	17
25	12	914	100	100	90	20	7	9	7	7	9	7	7	7	7	8	7	7	9	7	8	7	7	7	9	9	41	7	7	7	7	7	7	7	7	9	7	7	8	7	7	7	6	7	7	7	7	9	7	7	7	7	35	7	7	8	7	7	7	7	7	7	7	7	7	7	17	7	7	7	7	7	7	7	6	7	7	7	8	7	7	7	7	7	7	8	7	7	11	7	7	7	7	7	7	7	10	7	6	7	7	7	7	7	7	9
30	13	1022	100	100	91	25	7	7	9	7	7	9	7	7	7	8	7	7	7	7	7	7	7	7	7	7	6	7	9	7	7	7	8	7	6	8	7	7	7	7	8	8	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	8	6	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	9	7	7	7	6	7	7	7	7	7	7	8
35	12	989	100	100	93	30	9	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	8	7	7	7	7	9	7	7	21	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	9	7	7	7	8	7	10	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	8	9	7	7	7	7	7	8	8	7	7	7	8	7	7	7	10	7	7	7	7	7	7	8	7	7	7	7	9	7	7	7	7
40	12	1018	100	100	87	35	7	7	7	7	7	9	7	7	9	8	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	8	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	7	7	7	10	7	7	7	10	7	7	7	6	7	7	7	7	7	7
45	9	769	100	100	91	40	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	8	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	7	7	7	7	7	8
50	3	277	100	100	75	45	7	7	7	7	7	8	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	8	6	7	7	7	7	7	7	7	7	9	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	10	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	14	7	7	7	7	7	7	7	7	7	7	7	7	7	7
