-20	10	483	100	100	42	105	7	15	7	7	13	7	21	19	10	28	21	7	14	23	20	11	30	10	127	33	11	7	48	29	28	7	52	33	28	7	36	14	7	109	39	86	91	13	12	12	39	42	7	38	66	44	18	27	12	36	56	37	26	63	8	38	25	22	7	22	40	7	48	15	70	7	7	8	32	33	47	29	8	167	12	7	22	101	75	36	19	18	18	7	42	31	46	11	38	52	8	39	67	7	8	27	9	16	59	7
-15	10	549	100	100	24	-20	77	15	18	92	38	32	50	19	18	37	9	52	9	78	12	46	144	7	81	32	56	31	9	15	60	8	101	65	10	13	37	31	15	36	18	7	97	29	264	48	29	7	7	23	18	63	15	20	6	83	16	97	122	54	12	48	34	10	62	20	39	22	151	34	44	43	10	45	100	10	32	7	7	7	17	19	93	131	48	8	41	71	18	7	82	7	9	44	6	10	14	18	7	29	11	11	19	34	94	8
-10	12	680	100	100	70	-15	7	66	39	7	27	36	64	9	98	137	39	20	7	27	237	21	6	124	27	7	36	36	36	7	7	67	17	107	7	17	7	36	8	15	23	7	9	29	27	91	37	48	43	42	105	17	28	163	106	134	19	23	99	113	69	62	26	139	35	43	82	38	54	7	33	7	31	52	69	27	47	8	151	144	36	27	9	82	43	36	72	51	28	135	10	107	15	8	57	73	36	18	18	143	58	24	7	106	122	29
-5	11	616	100	100	79	-10	135	215	277	102	102	8	72	144	29	12	14	62	59	115	41	98	197	18	107	15	58	266	16	142	89	381	44	99	280	67	267	53	90	7	94	72	7	56	125	15	9	73	112	32	95	240	7	34	15	74	163	82	18	16	11	69	27	29	114	20	42	56	182	17	73	41	35	18	7	31	32	96	15	132	75	73	56	27	26	8	73	36	67	51	40	449	51	231	106	104	11	13	41	8	81	7	7	47	37	12
0	10	589	100	100	91	-5	165	85	103	141	78	18	124	22	190	36	87	7	39	169	22	15	44	7	88	191	169	256	45	20	13	363	55	71	70	178	27	44	157	18	123	66	40	162	19	17	133	8	78	128	44	63	28	18	63	18	97	8	183	45	9	29	272	17	54	14	35	71	7	64	104	17	112	401	22	46	106	30	49	30	160	22	6	65	10	70	68	106	14	298	41	39	29	126	107	29	12	18	73	236	76	7	89	242	7	22
5	13	795	100	100	91	0	107	30	36	51	15	115	53	110	38	7	549	85	8	108	73	20	22	22	66	106	8	17	22	50	10	77	40	33	98	20	7	10	15	32	21	24	47	95	33	45	68	71	24	33	64	144	56	75	16	16	54	43	20	74	18	34	33	37	37	42	53	64	37	63	49	39	46	8	33	56	18	34	58	106	27	172	9	7	15	25	35	16	43	38	50	156	10	44	339	10	18	86	58	16	8	89	20	64	178	193
10	11	702	100	100	89	5	75	30	240	95	12	53	159	334	16	247	9	32	49	107	83	67	17	7	27	7	15	60	249	43	12	49	63	24	53	97	35	40	70	93	54	20	14	64	62	9	24	240	89	41	142	7	43	57	72	7	171	76	46	104	23	14	26	7	17	41	115	36	14	7	7	34	96	50	18	7	7	35	15	12	28	29	9	18	47	53	167	25	35	34	33	31	37	23	9	88	13	7	32	8	30	7	32	77	64	10
15	12	789	100	100	94	10	17	7	53	10	21	9	32	57	7	16	59	7	7	45	73	29	7	105	21	53	7	7	16	25	33	28	20	42	30	7	68	26	11	70	67	37	107	132	7	28	11	7	14	23	28	8	7	11	9	13	118	78	7	11	30	59	16	77	57	16	32	71	17	9	49	9	48	7	43	14	64	24	33	58	27	22	87	124	48	38	7	7	8	7	7	35	36	7	31	48	6	9	7	7	20	7	27	57	6	7
20	12	821	100	100	98	15	7	7	52	7	53	8	96	27	8	25	138	7	7	7	45	7	7	40	7	7	7	21	19	8	33	35	7	11	7	7	8	7	8	52	7	7	7	7	27	82	31	7	18	7	7	11	7	30	39	7	6	7	7	7	14	42	8	22	6	16	14	13	54	38	7	35	7	43	7	7	7	9	7	7	7	7	7	8	23	13	8	44	33	7	7	7	20	7	7	31	19	24	7	8	7	34	7	7	6	38
25	12	854	100	100	97	20	7	7	7	7	7	7	16	7	12	21	11	7	7	38	8	10	21	7	16	7	21	7	7	7	7	35	45	7	27	14	7	7	7	7	34	52	7	16	7	7	11	7	7	23	8	7	7	7	25	7	7	7	33	15	9	7	7	31	7	7	16	7	97	7	42	47	7	7	7	44	7	7	7	62	8	6	7	35	32	46	7	73	7	7	8	7	40	23	25	22	7	24	7	7	8	7	43	22	7	7
30	13	962	100	100	96	25	7	7	40	17	7	7	22	7	7	7	7	14	7	7	8	7	7	7	7	25	6	7	7	7	8	7	7	7	7	7	19	7	7	19	7	7	6	7	19	7	29	14	41	7	18	31	7	7	7	8	7	28	6	7	7	32	12	7	7	7	7	7	7	7	8	34	7	7	7	8	7	9	7	13	35	7	7	7	15	7	7	17	7	42	7	7	7	7	7	7	7	8	7	7	8	7	7	7	7	8
