-20	10	481	100	100	1	80	10	10	17	23	10	48	7	22	36	12	45	13	13	35	8	27	37	7	40	42	9	7	10	34	7	63	8	8	10	34	23	12	9	7	7	7	16	7	19	7	48	25	44	17	17	61	23	8	11	56	17	22	16	7	7	7	9	15	39	15	14	11	11	25	24	8	17	27	7	26	16	122	47	7	23	9	23	35	8	7	37	7	8	7	32	14	8	8	8	73	69	20	28	16	8	24	45	42	14	7
-15	8	462	100	100	49	-20	7	51	40	7	7	7	66	48	16	21	21	44	7	11	13	21	23	13	38	89	11	91	11	13	35	10	7	11	10	31	22	9	8	35	9	7	69	39	8	27	7	7	9	61	11	7	73	6	23	8	31	7	8	52	10	6	7	18	24	38	19	16	18	8	8	12	7	8	11	15	7	8	35	98	7	19	21	17	49	12	15	12	23	7	35	34	27	13	74	8	24	7	7	7	12	10	7	34	12	21
-10	5	310	100	100	36	-15	8	10	7	43	8	22	33	29	44	14	7	7	26	57	9	62	57	46	9	110	39	12	7	12	39	9	7	67	7	12	244	8	7	8	14	12	9	11	10	21	40	9	63	18	25	8	37	32	19	12	8	7	9	42	9	50	17	13	10	22	19	7	66	7	20	29	44	7	8	9	25	47	68	21	7	23	13	7	61	8	26	24	23	26	13	19	19	8	14	21	24	7	7	11	25	15	7	22	10	8
-5	4	271	100	100	29	-10	7	27	27	221	32	13	16	7	7	11	33	8	7	7	36	13	7	35	28	7	15	129	8	39	7	10	30	10	7	44	16	7	7	63	26	28	31	20	8	8	35	7	7	11	24	104	35	14	13	8	46	9	11	68	11	30	40	51	13	48	51	7	16	25	212	29	30	7	9	21	25	19	19	8	29	9	28	11	21	18	82	10	21	64	49	11	33	21	9	98	99	98	60	16	23	9	51	10	12	17
0	3	206	100	100	25	-5	34	9	15	130	7	7	71	11	12	10	7	27	49	48	81	35	19	13	19	42	8	33	54	8	10	26	21	7	7	53	13	9	39	47	76	62	48	7	27	50	7	21	89	21	10	35	7	114	9	15	17	26	16	43	9	7	7	20	11	82	10	11	13	9	13	8	16	41	13	55	7	7	15	21	9	20	48	53	45	8	166	60	84	23	53	47	8	14	7	37	43	15	51	7	60	10	25	14	21	8
5	3	218	100	100	26	0	108	46	8	59	36	37	87	78	14	7	8	35	7	43	11	66	9	14	12	7	10	9	28	33	52	33	49	22	53	50	41	43	31	68	84	35	87	8	23	58	104	25	7	461	12	59	56	17	36	66	8	27	13	7	115	31	47	186	77	16	27	85	10	29	50	41	38	8	42	18	25	12	19	13	17	7	11	16	36	30	12	19	48	31	44	66	12	65	7	57	62	26	40	115	40	7	13	83	30	19
10	4	283	100	100	7	5	34	28	208	80	105	35	311	36	64	34	30	12	13	21	141	31	39	66	10	58	12	78	41	49	42	39	98	23	96	73	88	41	181	40	70	7	91	7	8	7	105	49	54	8	64	32	24	20	87	54	11	259	75	57	22	47	25	9	10	74	28	61	36	157	33	86	40	48	63	14	33	7	13	19	7	15	41	52	12	153	188	37	26	32	17	14	250	41	73	147	26	18	7	31	87	70	10	17	12	113
15	1	79	100	100	18	10	56	200	56	9	153	24	65	7	22	106	19	48	81	47	108	43	62	24	227	107	283	32	67	8	13	71	18	70	7	18	7	11	100	25	41	156	170	16	20	10	8	23	13	7	37	153	29	114	24	27	13	80	50	25	80	122	48	68	102	184	66	109	7	17	48	284	35	107	273	39	71	154	70	15	283	20	155	34	106	41	68	85	21	83	33	35	26	44	66	16	96	271	58	24	249	104	14	25	28	48
20	3	242	100	100	17	15	77	83	68	28	75	48	58	24	7	108	152	12	23	111	389	82	423	319	25	39	35	7	21	15	133	152	135	78	8	95	127	205	178	94	95	14	7	196	13	52	25	85	383	26	32	55	94	67	28	103	96	33	14	143	74	19	258	23	7	74	52	327	9	131	31	52	45	36	20	248	15	161	9	110	97	74	100	206	65	11	76	32	257	26	224	41	215	8	44	189	27	149	149	44	25	22	39	17	17	40
25	3	242	100	100	14	20	7	141	60	135	31	114	19	137	43	36	7	156	31	7	7	10	12	267	30	7	34	22	103	7	123	7	7	7	25	8	21	23	54	26	8	58	37	26	15	26	126	59	10	156	28	91	7	7	13	62	8	56	7	53	7	7	33	7	7	49	13	106	18	7	24	57	39	383	41	49	38	27	68	69	126	23	14	26	24	73	22	24	18	45	72	73	18	10	15	36	31	7	16	37	7	23	51	12	15	88
30	6	488	100	100	7	25	49	40	55	25	43	14	92	7	16	7	40	7	9	35	23	27	7	7	7	121	7	9	8	52	97	35	41	40	32	47	7	7	21	7	8	33	7	7	7	120	26	8	7	7	30	21	39	27	7	12	11	34	27	25	8	16	25	8	30	7	36	51	22	10	12	7	102	14	24	42	62	61	148	31	7	39	7	108	39	9	17	8	47	100	7	7	38	31	7	19	7	7	18	7	9	27	7	56	8	35
35	3	259	100	100	37	30	7	22	7	7	7	40	7	7	7	8	7	7	7	7	7	7	7	7	7	7	49	7	7	7	7	22	7	7	33	7	7	74	7	7	22	7	21	7	15	23	7	7	7	7	8	7	7	47	7	7	12	7	19	7	7	7	9	7	7	7	7	7	7	7	8	24	7	8	8	37	18	7	7	8	7	17	7	63	7	34	7	13	54	7	17	7	7	7	7	7	15	7	76	7	7	7	7	20	7	7
40	3	263	100	100	11	35	7	7	7	10	7	7	7	7	7	8	7	7	7	7	8	7	7	34	26	7	17	7	7	7	8	7	7	7	7	8	7	7	7	14	7	7	10	7	7	7	27	7	7	7	7	6	7	7	7	8	7	7	7	7	7	7	7	7	7	7	8	7	7	17	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7
45	4	355	100	100	16	40	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	6	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	25	7	7	7	7	7	7	7	7	7	7	7	14	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	11	7	7	7	7	7	7	7	7	7	20	7	7
50	1	91	100	100	23	45	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	18	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
55	0	0	100	100	23	45	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8
60	1	93	100	100	1	55	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	8	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	8	7	7	7	7	7
65	1	97	100	100	5	60	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
70	0	0	100	100	5	60	7	7	7	7	7	11	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
75	0	0	100	100	5	60	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	11	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	9	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7
80	0	0	100	100	5	60	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	10	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	8	7	7
