-20	6	319	100	100	1	85	30	32	26	38	46	24	59	8	19	8	6	13	7	26	7	33	10	7	9	8	7	22	7	7	8	27	8	16	7	78	19	7	22	11	15	7	23	8	12	52	7	52	7	10	27	15	36	7	14	22	49	28	10	7	9	9	7	8	20	20	13	18	30	16	30	58	31	10	7	10	16	27	27	22	7	7	52	22	13	25	9	20	25	72	51	59	9	19	62	8	8	88	21	21	111	17	12	21	7	8
-15	8	314	100	100	4	-20	20	19	69	8	10	47	7	7	63	15	13	21	7	18	7	7	8	11	7	7	13	9	7	15	13	8	7	29	9	54	60	15	35	8	7	13	36	54	12	10	15	59	26	18	11	7	16	31	46	8	7	8	7	19	18	7	35	7	12	70	7	7	18	7	7	15	22	35	16	16	59	7	7	7	7	7	46	110	15	25	11	7	11	16	7	18	27	7	7	19	53	8	8	25	23	34	8	16	22	16
-10	11	432	100	100	80	-15	8	91	23	26	17	7	41	8	96	16	43	8	37	22	23	12	7	43	7	67	9	31	22	9	8	52	54	19	40	43	55	7	12	47	10	44	11	8	28	9	7	40	34	38	15	40	8	9	16	8	12	38	7	44	29	28	25	10	13	27	28	7	19	12	7	7	51	8	10	90	8	7	7	24	30	32	10	7	50	25	48	80	12	12	21	64	39	59	7	13	57	80	34	66	12	7	33	27	58	77
-5	11	576	100	100	71	-10	72	136	42	25	9	42	30	120	38	15	6	15	8	9	20	259	32	11	9	108	121	28	73	37	92	95	71	54	21	46	50	11	35	31	31	48	19	7	12	8	7	17	70	27	14	55	46	46	15	12	11	24	58	7	11	304	11	44	35	26	9	12	8	30	7	9	48	55	19	15	31	8	11	33	35	166	17	12	174	46	18	37	11	32	21	68	8	17	38	36	53	10	21	7	111	7	29	88	13	14
0	11	607	100	100	87	-5	173	71	31	42	11	37	24	62	9	141	22	28	90	28	20	22	82	124	21	24	18	10	7	34	11	73	14	12	15	60	7	29	7	16	30	114	12	102	26	17	140	69	12	13	16	7	12	99	30	54	233	73	105	22	14	10	30	31	7	33	49	27	45	45	53	9	32	59	61	43	94	21	56	7	48	32	16	101	86	21	51	18	7	47	137	10	99	57	69	200	71	27	18	38	16	51	8	17	58	31
5	10	578	100	100	89	0	112	36	33	96	55	10	92	39	19	51	55	260	46	178	155	41	46	34	25	77	185	26	54	55	12	27	356	99	9	29	108	44	61	62	23	14	23	35	130	128	60	55	49	84	8	167	19	32	24	53	48	74	13	312	150	48	7	280	204	58	166	121	77	19	17	49	69	15	10	29	17	167	99	72	9	61	34	335	11	12	80	164	129	27	25	7	8	13	27	59	25	7	35	34	7	39	119	25	50	12
10	12	715	100	100	98	5	17	30	217	78	53	7	27	7	66	77	24	31	29	25	7	19	85	7	42	8	15	9	30	30	19	44	145	7	8	26	7	7	36	18	29	14	44	59	12	64	54	15	11	13	31	14	28	32	28	20	45	32	60	17	62	18	128	74	20	70	129	44	20	83	26	31	9	7	18	62	50	47	56	13	123	26	90	91	13	49	27	39	41	18	11	25	15	16	24	67	8	49	50	37	8	15	10	91	93	25
15	10	625	100	100	91	10	8	16	12	7	82	62	11	31	20	63	100	202	7	89	16	33	14	71	28	66	30	35	270	13	44	24	90	46	31	36	99	234	35	18	15	10	42	112	7	8	33	156	53	10	46	179	73	97	22	7	147	42	55	10	76	7	37	51	74	56	25	38	125	35	13	29	27	30	36	64	7	48	22	9	91	48	63	78	10	91	50	35	17	30	68	58	8	64	7	77	26	39	11	233	253	21	81	31	53	14
20	11	719	100	100	94	15	106	6	7	8	38	19	27	7	9	34	52	9	13	7	10	111	43	79	58	8	68	9	31	20	31	6	79	202	151	65	87	67	65	8	37	84	72	8	9	69	117	25	84	33	81	51	13	15	7	39	7	28	96	15	81	12	30	7	28	31	108	72	10	9	8	33	26	15	9	14	64	42	50	83	34	7	67	24	81	7	53	6	12	11	103	111	71	31	26	40	58	14	55	20	49	70	61	8	33	37
25	13	881	100	100	98	20	23	7	13	12	7	15	9	34	23	12	22	18	7	7	7	7	7	36	7	7	7	7	7	7	7	26	6	7	7	7	8	7	8	8	25	60	7	9	16	7	12	75	7	7	7	16	7	36	7	8	40	7	7	26	7	7	7	7	24	7	7	7	7	7	8	25	10	9	34	7	13	60	8	34	27	7	14	32	15	8	35	7	7	70	11	21	21	7	20	7	72	7	7	37	18	11	27	17	7	18
