-20	8	282	100	100	1	70	34	7	42	54	33	9	64	7	7	9	7	7	48	28	9	24	7	8	49	7	11	8	41	11	25	31	7	8	33	7	8	8	8	9	7	8	13	7	8	43	7	10	7	26	41	7	7	7	45	7	48	7	48	8	7	8	17	11	41	7	14	29	7	7	7	11	82	8	42	7	17	10	13	9	8	8	7	17	8	54	57	13	24	11	16	18	21	7	13	14	70	8	7	7	8	30	32	20	12	26
-15	4	161	100	100	46	-20	13	20	7	16	8	8	18	50	29	25	8	84	12	8	26	50	13	15	11	8	7	8	7	13	7	21	20	15	20	8	29	8	25	9	7	9	11	8	22	11	7	10	26	8	7	19	55	7	40	62	8	14	9	37	36	31	60	7	27	16	10	21	49	7	14	133	115	17	44	8	12	8	10	8	32	60	8	27	54	7	20	37	8	16	46	34	7	8	30	8	30	35	11	37	7	7	22	51	45	72
-10	8	413	100	100	51	-15	56	9	92	20	8	29	23	94	28	7	52	39	37	14	9	72	8	9	45	7	56	12	30	8	22	50	53	47	41	34	50	129	32	9	7	61	83	10	56	72	74	56	73	18	76	64	11	7	50	18	31	56	9	22	26	7	17	48	64	20	44	11	14	93	66	7	17	59	7	29	53	11	17	45	8	63	95	14	8	7	10	10	37	28	64	62	30	58	28	13	7	11	8	44	8	42	81	88	30	19
-5	11	515	100	100	48	-10	17	80	66	13	109	13	42	20	84	35	45	35	25	14	40	13	21	79	9	78	16	19	14	7	94	6	13	8	29	91	7	21	8	24	45	47	9	54	20	90	36	35	8	34	7	17	24	15	7	18	37	125	12	30	45	12	11	7	19	11	7	61	7	7	10	17	17	8	8	13	7	7	23	44	8	37	38	18	29	7	52	50	51	7	51	23	13	10	22	15	7	7	8	8	53	23	56	7	11	7
0	9	469	100	100	92	-5	15	65	60	31	7	62	60	23	31	14	19	127	9	37	81	7	43	7	19	32	11	37	17	74	14	43	51	8	11	51	8	66	47	41	12	21	38	89	9	17	7	10	19	16	16	14	64	8	8	56	20	173	7	10	7	48	89	94	86	51	42	47	44	9	125	119	24	7	31	35	36	39	14	33	42	44	118	26	94	9	37	97	7	33	134	64	49	235	9	25	7	7	8	43	7	23	28	91	24	12
5	11	621	100	100	74	0	7	39	81	18	7	24	11	7	9	13	17	94	8	75	15	17	12	25	60	37	67	36	7	8	89	7	7	46	53	60	27	40	82	22	134	10	9	25	128	29	7	8	8	105	24	15	30	58	13	7	8	26	28	37	7	13	27	61	8	7	67	7	36	54	7	36	10	49	8	76	53	40	19	15	11	58	66	20	32	43	90	8	42	21	21	39	7	65	48	24	9	86	84	14	104	61	84	30	23	130
10	13	733	100	100	62	5	33	53	39	54	90	156	48	34	82	47	26	54	124	15	47	178	46	86	121	23	37	162	38	126	34	7	45	15	31	53	98	25	19	34	43	10	9	69	34	193	63	25	53	7	49	26	10	81	42	49	138	106	7	157	83	32	125	38	98	12	10	23	122	29	180	8	31	93	97	26	7	238	64	106	27	18	59	183	10	38	78	48	7	81	40	19	23	157	95	51	90	13	20	42	168	33	16	45	79	102
15	14	846	100	100	89	10	111	37	155	61	48	538	76	88	100	9	24	183	26	149	96	19	165	331	71	19	486	92	64	45	74	102	239	40	71	65	26	208	99	86	25	38	30	22	116	42	15	142	254	45	17	7	63	99	119	15	108	79	111	136	80	16	44	204	12	25	43	52	36	7	144	59	54	79	28	100	24	109	34	50	40	34	71	92	75	30	415	10	24	143	200	79	13	7	109	61	27	143	7	17	114	121	66	19	91	13
20	8	506	100	100	89	15	314	90	117	249	277	29	11	8	259	42	130	28	101	76	111	105	22	109	25	76	12	21	38	84	50	109	25	98	40	47	25	30	126	54	29	402	31	15	88	16	7	210	18	98	67	23	133	123	45	8	10	56	22	100	215	253	244	183	101	47	76	16	72	143	10	47	97	76	72	115	42	111	8	93	350	428	107	115	146	78	14	50	262	27	87	111	133	90	112	185	59	7	13	35	22	39	24	312	123	152
25	11	758	100	100	83	20	27	54	19	124	50	39	36	9	43	65	52	38	114	51	37	20	49	258	12	70	62	8	27	60	187	157	317	33	15	171	118	126	32	23	53	67	81	7	77	46	16	20	39	115	59	31	296	16	61	201	47	130	7	101	24	152	40	70	56	217	15	45	21	7	46	67	192	73	103	38	69	9	101	76	164	161	256	79	116	50	68	19	53	38	7	48	66	57	40	61	90	38	8	101	26	12	43	25	12	23
30	12	862	100	100	88	25	12	32	60	42	7	36	31	16	60	33	59	83	88	8	32	7	10	21	11	214	25	8	33	10	91	25	34	25	8	95	175	61	9	36	14	38	25	6	30	11	41	24	23	31	19	7	75	19	7	20	107	90	81	57	201	45	29	7	94	41	7	115	48	21	78	25	13	8	62	9	7	19	7	7	18	47	73	6	50	7	31	38	7	17	21	47	34	16	7	14	15	140	12	7	68	24	40	36	21	37
35	10	731	100	100	76	30	7	173	32	63	7	16	25	7	8	24	10	34	106	7	13	11	40	7	22	45	18	22	41	7	20	67	9	25	28	9	26	17	7	30	7	45	80	44	32	8	46	16	7	80	30	52	20	26	42	26	54	43	31	52	35	15	50	156	98	129	44	7	86	43	7	20	7	222	24	7	36	16	46	170	108	7	25	6	32	16	7	10	52	52	70	9	38	7	7	39	7	21	46	56	52	23	7	7	7	46
40	12	903	100	100	81	35	7	15	33	7	10	8	7	15	22	7	7	9	69	64	48	27	8	7	22	64	7	77	8	36	8	25	9	18	39	7	30	24	23	7	50	14	7	21	59	75	11	7	22	7	36	17	6	31	51	7	32	64	7	37	6	7	112	7	29	12	87	65	13	45	13	55	26	9	44	9	7	44	13	8	8	51	37	19	7	47	7	7	35	7	7	17	7	25	13	7	7	16	37	18	16	35	15	11	30	14
45	13	1004	100	100	86	40	8	7	7	19	48	11	6	39	11	7	7	7	7	48	6	7	7	7	7	37	7	7	14	44	7	7	7	7	19	11	7	7	34	8	7	27	7	27	7	43	7	11	40	7	7	28	7	7	20	7	13	7	7	9	7	7	7	7	54	7	8	41	7	76	20	7	7	18	57	12	9	46	7	8	63	7	10	26	7	7	29	7	18	22	7	7	14	10	7	7	29	7	7	30	7	7	11	7	7	7
50	13	1019	100	100	93	45	7	7	7	7	7	21	7	7	7	7	7	7	7	7	7	7	7	16	8	7	7	7	7	7	7	7	7	7	8	7	7	23	7	7	7	7	15	7	7	6	7	7	7	27	7	7	7	7	47	7	7	7	7	10	7	7	7	7	7	7	10	7	7	7	7	7	7	30	7	7	24	6	7	21	7	7	8	7	8	17	12	7	9	34	7	7	50	6	26	13	7	16	16	7	7	11	19	7	35	21
55	13	1046	100	100	95	50	7	7	7	8	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	23	41	7	7	7	7	7	7	7	19	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	30	7	7	7	7	7	7	8	7	7
60	13	1089	100	100	95	55	7	7	7	8	7	7	7	6	7	7	7	7	7	7	7	6	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	8	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	8	7	7	7	7	7	7
65	13	1118	100	100	95	60	7	7	7	8	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	6	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	6	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7
70	8	698	100	100	96	65	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	8	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	8	7
75	10	893	100	100	89	70	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7
80	7	655	100	100	94	75	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	8	7	6	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	6	7	8	7	10	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7
85	3	277	100	100	54	80	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
