-20	19	1109	100	100	4	105	7	10	10	10	7	7	16	24	8	7	9	7	7	14	8	15	7	9	9	11	14	10	14	36	7	13	51	13	10	13	25	26	8	17	8	7	13	15	9	14	10	58	7	7	20	7	16	33	11	21	36	11	10	24	7	11	15	36	20	8	24	30	9	8	22	8	47	24	7	10	11	12	9	28	9	9	8	26	8	9	38	70	9	9	14	10	7	11	24	7	32	27	16	8	9	13	12	7	26	7
-15	13	878	100	100	4	105	41	9	12	10	26	8	7	8	20	10	10	7	12	14	29	32	10	10	7	21	25	17	11	7	8	10	13	39	7	7	8	9	8	41	8	20	10	12	9	9	39	7	7	16	39	13	18	10	7	7	21	83	33	17	7	20	7	34	17	7	7	13	7	27	29	18	15	8	12	58	7	7	17	51	11	25	12	11	25	15	28	7	7	17	7	38	10	21	7	7	28	22	12	18	11	15	17	27	15	18
-10	46	3265	100	100	4	105	63	16	17	24	31	20	34	7	46	28	7	9	7	6	14	37	13	33	7	7	29	10	7	7	6	13	7	11	19	24	13	18	7	9	75	63	12	28	65	33	42	8	27	19	30	44	16	10	22	34	31	23	25	20	7	11	7	9	10	8	10	7	53	11	7	28	29	41	33	7	8	22	26	13	36	21	13	7	7	7	27	18	7	20	7	18	13	15	9	73	61	6	11	6	88	8	16	7	61	58
-5	26	1679	100	100	1	115	24	26	24	53	57	29	25	13	56	7	38	10	7	57	37	55	73	7	35	8	13	37	29	11	11	7	8	7	22	27	97	8	31	26	7	48	7	20	30	19	49	9	66	21	8	9	7	7	8	26	7	45	7	33	7	44	29	38	18	44	14	13	27	27	39	23	8	7	7	10	15	34	35	7	53	10	7	7	9	16	8	11	8	7	14	7	40	8	80	7	8	12	60	28	7	22	25	7	18	14
0	9	540	100	100	41	-5	11	14	17	8	71	10	50	11	7	15	26	10	27	22	12	13	7	28	23	8	14	7	24	7	27	47	13	18	7	7	13	23	21	8	79	17	18	46	12	14	45	20	27	8	31	59	7	7	7	9	8	7	9	25	6	10	26	15	19	14	8	7	7	31	15	26	7	11	11	7	7	45	11	20	14	37	21	32	12	7	15	29	39	21	7	19	9	27	8	7	67	39	7	10	43	12	31	18	7	41
5	9	620	100	100	72	0	9	47	11	11	32	17	28	12	35	48	17	19	7	19	14	30	19	7	8	10	18	75	24	8	43	27	16	37	37	46	7	20	15	7	7	7	22	7	14	18	11	16	21	62	22	8	39	12	9	27	49	25	12	7	25	13	61	11	24	28	13	21	11	8	15	24	26	11	23	88	40	16	35	11	7	60	8	32	7	19	18	17	101	8	28	66	17	66	14	26	94	15	15	17	9	36	19	44	10	8
10	11	764	100	100	72	5	10	9	7	7	17	7	8	39	17	16	8	7	7	42	74	38	7	35	8	12	61	8	27	72	19	65	7	30	7	15	23	15	30	56	10	27	42	67	43	16	13	38	7	7	8	8	7	28	11	26	27	49	15	7	23	65	16	10	9	35	51	7	10	8	18	45	17	52	16	93	10	9	9	36	34	8	12	7	29	7	71	7	7	9	8	10	7	12	21	7	71	66	21	28	26	25	7	11	43	10
15	11	780	100	100	80	10	13	16	7	49	7	22	19	9	9	20	23	28	10	11	27	22	34	28	7	8	13	7	80	7	9	8	13	31	22	7	8	14	40	22	31	53	25	8	7	11	8	29	9	39	9	13	7	36	9	19	25	29	7	11	8	9	20	7	20	19	8	15	40	7	7	7	39	9	9	7	8	9	55	8	14	8	8	7	22	54	10	43	7	23	7	36	25	47	43	18	7	13	24	7	7	7	9	10	7	8
20	11	816	100	100	85	15	7	13	11	15	22	7	7	7	23	7	22	20	45	39	16	33	7	7	28	7	17	8	40	6	10	8	15	7	12	7	8	22	7	7	7	7	11	9	13	16	8	52	20	8	17	8	7	7	7	7	35	7	7	17	19	47	21	7	24	33	7	10	9	13	20	7	10	7	7	7	34	6	7	7	7	31	7	9	7	6	7	7	8	7	64	8	7	6	7	7	8	7	7	7	17	22	14	7	13	20
25	12	864	100	100	80	20	8	7	7	7	7	15	7	7	6	7	7	7	7	7	7	9	25	7	7	25	8	7	7	7	27	12	19	7	13	9	11	16	6	9	7	7	17	7	7	11	7	7	7	9	7	7	7	8	8	7	8	7	9	7	8	11	11	7	7	7	16	7	7	7	7	8	7	41	7	7	8	7	6	8	7	7	10	9	7	7	7	7	7	7	7	8	7	7	41	7	71	7	10	7	7	7	21	7	7	7
30	13	946	100	100	88	25	7	7	7	33	7	8	18	7	6	7	7	19	9	7	14	8	13	7	7	20	7	7	19	7	9	8	7	14	7	7	8	9	11	15	7	11	7	7	7	7	7	7	10	7	7	7	14	7	9	7	7	7	9	7	7	14	7	7	7	7	8	7	7	7	6	8	7	13	23	7	7	7	8	7	7	7	7	7	46	7	7	7	16	7	7	8	18	7	13	7	7	7	7	7	10	10	6	7	13	7
35	13	940	100	100	82	30	7	7	7	7	7	20	7	7	13	8	7	7	7	7	7	7	6	7	7	7	8	7	7	7	6	7	7	11	7	7	8	7	6	7	7	8	7	7	7	9	7	7	7	7	7	8	7	7	8	7	7	7	7	7	7	8	6	7	7	7	7	7	7	7	6	8	7	7	7	7	7	7	6	7	7	7	7	8	7	12	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	6	7	7	7
40	12	895	100	100	89	35	7	7	7	7	7	11	7	7	7	7	7	7	10	7	7	7	7	6	7	9	8	7	11	7	7	7	7	7	7	7	7	58	7	6	7	7	7	7	7	7	8	6	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	6	7	7	7	7	7	8	7	7	7	7	7	7	8	7	7	7	7	7	8	7	7	7	7	6	7	7	7	7	7	7	7	6	7	7	7	7	7	8	7	6	7	7
